ficha,acao,secretaria,empenho,af
165,2152,SEC. DESENVOLVIMENTO E INCLUSÃO SOCIAL,817/2026,314/2026
815,2108,"SEC. ESPORTE,LAZER, QUALIDADE DE VIDA",802/2026,304/2026
699,2230,SEC. DESENVOLVIMENTO E INCLUSÃO SOCIAL,851/2026,699/2026
