ficha,acao,secretaria,empenho,af
112,2121,SEC. DESENVOLVIMENTO E INCLUSÃO SOCIAL,820/2026,416/2026
114,2122,SEC. DESENVOLVIMENTO E INCLUSÃO SOCIAL,807/2026,413/2026
118,2123,SEC. DESENVOLVIMENTO E INCLUSÃO SOCIAL,809/2026,414/2026
131,2124,SEC. DESENVOLVIMENTO E INCLUSÃO SOCIAL,816/2026,415/2026
165,2152,SEC. DESENVOLVIMENTO E INCLUSÃO SOCIAL,805/2026,411/2026
