ficha,acao,secretaria,empenho,af
815,2108,"SEC. ESPORTE, LAZER, QUALIDADE DE VIDA",788/2026,401/2026
165,2152,SEC. DESENVOLVIMENTO E INCLUSÃO SOCIAL,805/2026,411/2026
