ficha,acao,rgi        
165,2152,570290406 
165,2152,396964800 
165,2152,573978999 
165,2152,394929586 
165,2152,722456620 
165,2152,395997445 
165,2152,913614602 
165,2152,568049209 
165,2152,570885434 
165,2152,394407458 
165,2152,789282143 
165,2152,577425021 
165,2152,571616747 
165,2152,603004504 
815,2108,394105010 
699,2230,926347020 
