ficha,acao,uc
165,2152,115836200479
165,2152,1325500478
165,2152,126642600450
165,2152,161511800485
165,2152,236638900420
165,2152,116710100432
165,2152,67109300448
165,2152,88526000476
165,2152,125482200404
165,2152,128197200458
165,2152,163785400499
165,2152,1558200490
165,2152,136332500440
165,2152,180639300427
815,2108,167450900442
815,2108,118542900427
